Season,Winning Constructor
2020,Mercedes
2019,Mercedes
2018,Mercedes
2017,Mercedes
2016,Mercedes
2015,Mercedes
2014,Mercedes
2013,Red Bull
2012,Red Bull
2011,Red Bull
2010,Red Bull
2009,Brawn
2008,Ferrari
2007,Ferrari
2006,Renault
2005,Renault
2004,Ferrari
2003,Ferrari
2002,Ferrari
2001,Ferrari
2000,Ferrari
1999,Ferrari
1998,McLaren
1997,Williams
1996,Williams
1995,Benetton
1994,Williams
1993,Williams
1992,Williams
1991,McLaren
1990,McLaren
1989,McLaren
1988,McLaren
1987,Williams
1986,Williams
1985,McLaren
1984,McLaren
1983,Ferrari
1982,Ferrari
1981,Williams
1980,Williams
1979,Ferrari
1978,Team Lotus
1977,Ferrari
1976,Ferrari
1975,Ferrari
1974,McLaren
1973,Team Lotus
1972,Team Lotus
1971,Tyrrell
1970,Team Lotus
1969,Matra-Ford
1968,Lotus-Ford
1967,Brabham-Repco
1966,Brabham-Repco
1965,Lotus-Climax
1964,Ferrari
1963,Lotus-Climax
1962,BRM
1961,Ferrari
1960,Cooper-Climax
1959,Cooper-Climax
1958,Vanwall
