Season,Constructors,Number of Wins,Total Races,Constructors Champion
1958,Vanwall,6,11,Vanwall
1959,Cooper-Climax,5,9,Cooper-Climax
1960,Cooper-Climax,6,10,Cooper-Climax
1961,Ferrari,5,8,Ferrari
1962,BRM,4,9,BRM
1963,Lotus-Climax,7,10,Lotus-Climax
1964,"Ferrari, Lotus-Climax",3,10,Ferrari
1965,Lotus-Climax,6,10,Lotus-Climax
1966,Brabham-Repco,4,9,Brabham-Repco
1967,"Lotus-Ford, Brabham-Repco",4,11,Brabham-Repco
1968,Lotus-Ford,5,12,Lotus-Ford
1969,Matra-Ford,6,11,Matra-Ford
1970,Team Lotus,6,13,Team Lotus
1971,Tyrrell,7,11,Tyrrell
1972,Team Lotus,5,12,Team Lotus
1973,Team Lotus,7,15,Team Lotus
1974,McLaren,4,15,McLaren
1975,Ferrari,6,14,Ferrari
1976,"McLaren, Ferrari",6,16,Ferrari
1977,Team Lotus,5,17,Ferrari
1978,Team Lotus,8,16,Team Lotus
1979,Ferrari,6,15,Ferrari
1980,Williams,6,14,Williams
1981,Williams,4,15,Williams
1982,"Renault, McLaren",4,16,Ferrari
1983,"Brabham, Ferrari, Renault",4,15,Ferrari
1984,McLaren,12,16,McLaren
1985,McLaren,6,16,McLaren
1986,Williams,9,16,Williams
1987,Williams,9,16,Williams
1988,McLaren,15,16,McLaren
1989,McLaren,10,16,McLaren
1990,"Ferrari, McLaren",6,16,McLaren
1991,McLaren,8,16,McLaren
1992,Williams,10,16,Williams
1993,Williams,10,16,Williams
1994,Benetton,8,16,Williams
1995,Benetton,11,17,Benetton
1996,Williams,12,16,Williams
1997,Williams,8,17,Williams
1998,McLaren,9,16,McLaren
1999,McLaren,7,16,Ferrari
2000,Ferrari,10,17,Ferrari
2001,Ferrari,9,17,Ferrari
2002,Ferrari,15,17,Ferrari
2003,Ferrari,8,16,Ferrari
2004,Ferrari,15,18,Ferrari
2005,McLaren,10,19,Renault
2006,Ferrari,9,18,Renault
2007,Ferrari,9,17,Ferrari
2008,Ferrari,8,18,Ferrari
2009,Brawn,8,17,Brawn
2010,Red Bull,9,19,Red Bull
2011,Red Bull,12,19,Red Bull
2012,"Red Bull, McLaren",7,20,Red Bull
2013,Red Bull,13,19,Red Bull
2014,Mercedes,16,19,Mercedes
2015,Mercedes,16,19,Mercedes
2016,Mercedes,19,21,Mercedes
2017,Mercedes,12,20,Mercedes
2018,Mercedes,11,21,Mercedes
2019,Mercedes,15,21,Mercedes
2020,Mercedes,13,17,Mercedes
