Constructor,Winning Years,Number of Titles
Ferrari,"1961, 1964, 1975, 1976, 1977, 1979, 1982, 1983, 1999, 2000, 2001, 2002, 2003, 2004, 2007, 2008",16
Williams,"1980, 1981, 1986, 1987, 1992, 1993, 1994, 1996, 1997",9
McLaren,"1974, 1984, 1985, 1988, 1989, 1990, 1991, 1998",8
Mercedes,"2014, 2015, 2016, 2017, 2018, 2019, 2020",7
Team Lotus,"1970, 1972, 1973, 1978",4
Red Bull,"2010, 2011, 2012, 2013",4
Lotus-Climax,"1963, 1965",2
Renault,"2005, 2006",2
Brabham-Repco,"1966, 1967",2
Cooper-Climax,"1959, 1960",2
Matra-Ford,1969,1
Brawn,2009,1
BRM,1962,1
Lotus-Ford,1968,1
Benetton,1995,1
Tyrrell,1971,1
Vanwall,1958,1
